"HORA","DU3","DU7","DU30",
0,0.6,0.1333333333333333333333333333333333333333,0.9333333333333333333333333333333333333333,
1,0.1666666666666666666666666666666666666667,0,1,
2,0.625,0.75,0.875,
3,-1.33333333333333333333333333333333333333,-0.33333333333333333333333333333333333333,1,
4,-0.5,0.5,1,
5,0.3333333333333333333333333333333333333333,0.3333333333333333333333333333333333333333,1,
6,0.4,0.2,1,
7,0.6666666666666666666666666666666666666667,0.5,0.9166666666666666666666666666666666666667,
8,-0.75,-0.25,1,
9,-0.5,-1.1,0.9,
10,0.4,0.2,0.55,
11,-0.06666666666666666666666666666666666667,-0.46666666666666666666666666666666666667,-0.33333333333333333333333333333333333333,
12,-0.73333333333333333333333333333333333333,0.1333333333333333333333333333333333333333,0.0666666666666666666666666666666666666667,
13,-1,0,0.4,
14,-1,-0.77777777777777777777777777777777777778,0.3333333333333333333333333333333333333333,
15,0,0,0.8666666666666666666666666666666666666667,
16,0.2142857142857142857142857142857142857143,0,0.8571428571428571428571428571428571428571,
17,0.125,-0.25,0.75,
18,-1.625,-0.875,1,
19,-0.5,-0.5,1,
20,0.0714285714285714285714285714285714285714,0,0.9285714285714285714285714285714285714286,
21,-0.58333333333333333333333333333333333333,-0.16666666666666666666666666666666666667,0.9166666666666666666666666666666666666667,
22,-0.23529411764705882352941176470588235294,0.1176470588235294117647058823529411764706,1,
23,0,-0.2,1,
